,ChemicalName,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount
0,BENTAZON,240.28,2.8,74.9,1,4
1,PENOXSULAM,483.4,2.9,125.0,1,14
2,PERMETHRIN,391.3,6.5,35.5,0,3
3,ENDOSULFAN,406.9,3.8,54.7,0,4
4,GLYPHOSATE,169.07,-4.6,107.0,4,6
5,"HEXAHYDRO-1,3,5-TRINITRO-1,3,5-TRIAZINE",222.12,1.6,147.0,0,9
6,"2-AMINO-4,6-DINITROTOLUENE",197.15,1.1,118.0,1,5
7,"HEXAHYDRO-1-NITROSO-3,5-DINITRO-1,3,5-TRIAZINE",206.12,1.1,131.0,0,9
8,"HEXAHYDRO-1,3,5-TRINITROSO-1,3,5-TRIAZINE",174.12,0.2,98.0,0,9
9,CARBARYL,201.22,2.4,38.3,1,2
10,CHLORPYRIFOS,350.6,5.3,72.7,0,5
11,TOXAPHENE (POLYCHLORINATED CAMPHENES),411.8,4.7,0.0,0,0
12,ENDRIN,380.9,3.7,12.5,0,1
13,DIELDRIN,380.9,3.7,12.5,0,1
14,MEXACARBATE,222.28,2.5,41.6,1,3
15,EPN,323.31,4.4,96.4,0,5
16,FENTHION,278.3,4.1,85.1,0,5
17,CARBOFURAN,221.25,2.3,47.6,1,3
18,MONOCROTOPHOS,223.16,-0.2,73.9,1,5
19,AZINPHOS-METHYL (GUTHION),317.3,2.8,121.0,0,7
20,"TRIFLUOROMETHYL-4-NITROPHENOL (3-, LAMPRECIDE)",207.11,2.8,66.1,1,6
21,SODIUM  MONOFLUOROACETATE,100.02,,40.1,0,3
22,STRYCHNINE,334.4,1.9,32.8,0,3
23,ZINC PHOSPHIDE,258.1,,0.0,0,2
24,"DDT (4,4'-)",354.5,6.9,0.0,0,0
25,METHYLPARATHION,263.21,2.9,106.0,0,6
26,AMINOPYRIDINE (4-),94.11,0.3,38.9,1,2
27,ALDICARB,190.27,1.1,76.0,1,4
28,"CYANIDE, SODIUM",49.007,,23.8,0,2
29,PARA-AMINOPROPIOPHENONE,149.19,1.7,43.1,1,2
30,DIPHACINONE,340.4,3.7,51.2,0,3
31,ALDRIN,364.9,4.5,0.0,0,0
32,LINDANE,290.8,3.8,0.0,0,0
33,DICROTOPHOS,237.19,0.0,65.1,0,5
34,DIURON,233.09,2.7,32.3,1,1
35,PROPOXUR,209.24,1.5,47.6,1,3
36,FENSULFOTHION,308.4,2.2,96.1,0,6
37,DEMETON,516.7,,171.0,0,10
38,MERCURIC CHLORIDE,271.50,,0.0,0,0
39,AMMONIUM NITRATE,80.044,,63.9,1,3
40,AMMONIUM CHLORIDE,53.49,,1.0,1,1
41,AMMONIUM SULFATE,132.14,,90.6,2,4
42,"NITRATE, SODIUM",84.995,,62.9,0,3
43,"TETRACHLORODIBENZO-P-DIOXIN (2,3,7,8-)",322.0,6.4,18.5,0,2
44,"PCB 126 (3,3',4,4',5-PENTACHLOROBIPHENYL)",326.4,7.3,0.0,0,0
45,PHOSPHORUS (YELLOW OR WHITE),30.97376200,,0.0,0,0
46,EMAMECTIN BENZOATE,1008.2,,199.0,4,16
47,PARATHION,291.26,3.8,106.0,0,6
48,FORMALDEHYDE,30.026,1.2,17.1,0,1
49,ZINC SULFATE,161.4,,88.6,0,4
50,COPPER SULFATE,159.61,,88.6,0,4
51,"2,4,6-TRINITROTOLUENE",227.13,1.6,137.0,0,6
52,LEAD ACETATE,325,,80.3,0,4
53,"2,4-DINITROTOLUENE",182.13,2.0,91.6,0,4
54,METHYLMERCURY,215.63,,0.0,0,0
55,THEOBROMINE,180.16,-0.8,67.2,1,3
